rownames(qlf$table)	logFC	logCPM	F	PValue	q_val
Foxj3	0.31149511184574435	6.223196235296376	1.9290510175205198	0.22141777908390994	0.3473964751039047
Guca2a	-1.1173161096221662	0.9865547243939875	5.3677824322812455	0.06632755761828563	0.14080457624086573
Guca2b	-0.6900393647770936	2.55843412078087	1.233862000743744	0.3153661060596786	0.45260202577092773
Hivep3	0.4509882789441266	6.372257459798114	9.204700106911826	0.027538608226859156	0.07132334409188205
Edn2	-2.5936572796547894	2.152128176034557	78.65383026208495	2.476470408125195e-4	0.00199322540612561
Foxo6	-2.4617165524824434	1.4709584921175238	72.75546381446432	2.9988904543375134e-4	0.0022588966345745355
Scmh1	0.5629292425560362	4.231726289765561	13.603298758042559	0.0132146862711799	0.04037099636873231
Ctps	-0.22599495688380736	5.037386432276256	4.899220553786784	0.0757028355005961	0.1548919857939828
Cited4	-1.7482423905498554	2.1733871053173623	21.89744579109623	0.004920687557433787	0.018549500974083727
Kcnq4	-4.055287298578968	1.2841038617907745	140.33398568334448	5.848586615545298e-5	8.917230849629752e-4
Nfyc	0.18314856665515006	4.368575454872515	1.8779328222529033	0.22677613099869515	0.35359158097159427
Rims3	-2.033762582645689	0.5168030402478297	40.81008377046917	0.0012026224127313237	0.006302925014483344
Dem1	0.5390927668754221	3.4324565397962785	2.3640618756340843	0.18255152931529336	0.30129576805324365
Zfp69	-0.13012490580769043	2.0792808497369055	0.4217768390509708	0.543648948577497	0.6693381750102992
Smap2	0.19803154087952748	6.866065211911775	2.1195107189377604	0.20302761744566422	0.3262397171017105
Col9a2	0.19846152478375356	5.633129969845472	2.98046707459893	0.14260903337252553	0.25037489770156623
Zmpste24	0.06325257223969147	5.997369164105804	0.4630127066305665	0.5253358004432394	0.6544601583794561
Rlf	0.22908716507612842	5.960415833172609	0.7463768414086968	0.4256769695169562	0.5632947728694297
Ppt1	0.07115786789228139	6.245077891368023	0.52341353661567	0.50061962933226	0.6324202874575757
Cap1	0.17388573303094407	8.690337064918728	3.6019275763064256	0.11395445322344214	0.21203682513156938
Mfsd2a	-0.8919702619779046	3.917225753445877	10.260754358519959	0.022626447563597923	0.06137122965531967
Mycl1	-0.9585153345156928	4.47963844425455	8.262078795738349	0.03327422398324824	0.08223365908129532
Trit1	-0.03232973906399428	3.46914009002205	0.039788308746500876	0.8494625596285912	0.9032283516018469
Bmp8b	-2.53361196929218	0.5796911641354039	67.46383093662114	3.606900050124056e-4	0.002551893707015027
Ppie	0.0925858724137604	4.190221588645523	0.37141389934540037	0.5678835735667028	0.6897820316327314
Hpcal4	-2.5432663229743895	2.2570486091514765	82.67249553757253	2.190342554927122e-4	0.0018400770788285657
Heyl	-1.903816695573695	3.7713977331561455	50.60085844164048	7.226105281520496e-4	0.00429001201606661
Pabpc4	0.11919172286120984	5.054825596454744	0.6001605713096798	0.4722596414673957	0.606294762296684
Bmp8a	-2.210307073346744	1.117897148972896	61.118884218103545	4.586053771646001e-4	0.003054937108708714
Macf1	0.37850620183432576	9.506423207227801	10.951866573659505	0.02005103965779133	0.05587700119689162
D830031N03Rik	-0.035443608916232536	3.2118519556981022	0.01868176980440877	0.8964183426182984	0.9357750555662286
Akirin1	0.2909232224623491	6.119791214536895	2.3879897780191133	0.18071296560337607	0.29904082314914315
Rhbdl2	0.5893091293743606	4.840205040204009	23.70071186968395	0.004140638155498692	0.01622146084784132
Mycbp	0.055553116596610747	4.394455940817028	0.11095087276442452	0.7520779157989903	0.8356421286655448
Rragc	0.49625253351124393	6.794693043179353	18.836083607160674	0.006791862430829598	0.023916091666530852
Pou3f1	-0.859754666880369	2.032213647996102	10.291835286428215	0.02250101655630764	0.06111629824464346
Utp11l	0.24038515807394098	4.4455510405357295	3.3729980072776238	0.12345963555705539	0.2252225871553509
Fhl3	0.5598246605568402	2.357815162245114	4.353265861307637	0.08916700329582124	0.17576884641160373
Sf3a3	0.13762372845090334	5.485446662321798	1.5517477909823927	0.266067575427149	0.39801354477077117
Inpp5b	0.7232869200522254	7.488344074277019	58.92030891080557	5.011350922193479e-4	0.0032577971087001923
Mtf1	0.5876294852478581	6.176637603973851	10.808040260417235	0.020552073971215362	0.056987294980812925
1110065P20Rik	0.3438810599312817	3.1953426470935233	3.9242391989157235	0.10225344731153445	0.19504920334817968
Yrdc	0.10310009391577091	5.501960141802569	0.1750761726341177	0.6923625971094106	0.7912279257037801
Maneal	0.5824813720956049	3.241053525271233	12.537391843391049	0.015500855302996629	0.045722495777999625
Epha10	-2.8283997809574317	0.959516317725306	48.65342119821625	7.93570022897614e-4	0.004613089291984261
Cdca8	-0.1501947675566224	4.746603149052916	0.8948529286677548	0.38602203532541096	0.5248055192109414
9930104L06Rik	0.35189784028773646	3.7647242327046837	1.75571606583288	0.24040302061218755	0.3697227742576913
Rspo1	-2.386886021757836	2.084250370049147	117.44099488796117	9.148875695073846e-5	0.0011036851594910652
Gnl2	-0.091454736992615	6.246531548820871	0.26459193816315824	0.6280956988319988	0.7410385521121078
Dnali1	-0.8370856836399283	1.3441976382351224	4.929417773871839	0.07504410591663695	0.15398385820088864
Snip1	0.24196096195573613	5.09346190356296	2.044139137434607	0.2100238815837016	0.3341386698001391
Meaf6	0.16701530273157975	3.9677169645057444	1.2805668318959706	0.3072691180357488	0.4432314272222536
Zc3h12a	-0.48113489293496536	6.285929673211828	1.0800179176282194	0.34458560093492124	0.48277579970237106
Grik3	-1.8771060166979432	4.487924938369715	131.58406751185927	6.877474391474739e-5	9.484793092994331e-4
2610028E06Rik	-5.8406207483042545	0.5916465657036457	71.59930174199363	3.1188738393443416e-4	0.002310552082029753
Csf3r	-3.581792926586699	1.072292607185924	107.03215406956322	1.1538406832947888e-4	0.0012512010198907928
Mrps15	0.2687375645029278	4.710389762282282	5.904495104768002	0.05747910715474767	0.12581758294643453
Oscp1	-0.4423102437584451	2.7178906824652653	4.792547824605486	0.07809626601504976	0.15891426576071538
Lsm10	0.13310041221974003	3.345474548771354	0.5836180563307924	0.47811449857764554	0.6122605989362092
Stk40	0.2057883752437021	6.364749220574158	0.6059036730195837	0.4702578968161498	0.6048815459213782
Fam176b	-0.2602301713577406	2.3368925510530976	1.3579901189969366	0.29454687063080964	0.42925996610207023
1700029G01Rik	-0.7722260266745022	3.6038965129848344	21.24038689546929	0.005255703328665878	0.019570447021253448
Thrap3	0.1601230393966544	6.734932956867164	1.023151779991938	0.3565037573723079	0.49505567307906656
Mtap7d1	0.3465054118632281	7.618359400899137	1.7493171617621945	0.24115015041843774	0.3704531971407384
Trappc3	0.27490846709658984	5.701603804840972	7.8755528227929394	0.03611269541960409	0.08775627657053346
Col8a2	-3.015107325024082	1.546085908146064	148.62019034001673	5.060798346166348e-5	8.436807322958016e-4
Adprhl2	0.2551050045597227	4.744866824737079	4.725974076760995	0.0796444360021427	0.16109143858393848
Tekt2	-0.48609929140488967	1.914234193413145	4.929097990843143	0.07505103931218873	0.15398385820088864
Eif2c3	0.04424983403073598	4.371281235254866	0.0630124406485342	0.8114165658737044	0.8786579108172774
Eif2c1	-0.008571301480240642	6.334238154226475	0.008610205124522792	0.9295393631842213	0.9581291990928437
Eif2c4	-0.5016623784243642	3.185376574592762	2.8654897854619947	0.1490276942295289	0.2593598931470817
Clspn	-0.29101379827305324	4.62936272972482	4.130195741667029	0.09565356600046628	0.18529991858083997
5730409E04Rik	0.7160311308327945	5.0501946479393744	40.81460980022379	0.0012023095904032935	0.006302925014483344
Psmb2	0.4111421682192548	6.690884518229069	20.759951363983173	0.005520995622469386	0.020334315947275923
Tfap2e	-4.576561902435862	1.7141195679076424	174.804847869446	3.356915010250984e-5	7.35731136865557e-4
Ncdn	0.06253125763183176	6.371262672793302	0.2630241186663915	0.6290915130333858	0.7418342181469947
AU040320	0.3584026562401505	7.844895934683091	9.525651129371663	0.025900420787490858	0.06803557593580788
Zmym4	-0.4115848893469554	5.305967452419408	16.864667769593368	0.008557321375163579	0.02870283593265609
Sfpq	-0.13563518284581155	8.021468112639466	2.3181960988839414	0.18615321915064884	0.3057707068352582
Zmym1	-0.004908761340387426	4.043701055507236	5.968408636185231e-4	0.9814193972248878	0.9889333979601781
Zmym6	0.11896656962795886	4.364918555416427	0.7902260004474099	0.4132633349772994	0.5510886595400915
Gm12942	0.41891427797347935	3.5304678405120833	5.47836104589346	0.06435518173728513	0.1375219676298735
Dlgap3	-0.39085528635623656	4.8474319658551925	7.411882737045098	0.03998413046136478	0.09505171455458244
BC003266	0.2474807523787506	3.6963292410982245	2.9439071470875673	0.14460600998721265	0.2531663426369238
Gja4	0.2406201516182077	7.5104666926353705	0.8634939457991779	0.39385995750834335	0.5319196056326854
Gjb3	-2.647998936110183	1.1209033178078445	20.799689505868844	0.005498356984782988	0.020279755956682986
Gjb5	-5.164948429938894	1.1425746029736275	88.75166670510824	1.8380411039991122e-4	0.0016360354417393357
CK137956	-3.1112802207947214	1.5083937850395226	126.97166298907058	7.522682692685028e-5	9.913608618294452e-4
Zscan20	0.18569253609488845	3.6963743400719653	1.502753948215275	0.27285476367158285	0.40574654060372123
Tlr12	0.8960197472274957	4.417059414741023	50.46803718263479	7.271645744009659e-4	0.004307584431213341
Phc2	0.4449529836738251	6.7861749655287	22.179329228026564	0.0047860114527477895	0.018139721746793208
A3galt2	0.40248755561887717	1.7028310758376994	1.711030579304081	0.24569455185671993	0.37574255324272177
Zfp362	0.6398122482878462	7.572820453229399	48.378732925353034	8.043466727378386e-4	0.0046565862848374495
Trim62	-0.7942366068071501	3.728503270535814	27.343746268727877	0.0030154699723357334	0.012683415052343966
Adc	0.9108751085187026	6.381555928451113	69.8493223968068	3.313484506644297e-4	0.002396496933875294
Ak2	0.25733276652376014	8.300928454448757	4.072238826305416	0.0974481371313971	0.18809537711331212
Rnf19b	0.6004056451451505	9.381313752608127	2.9753006372886217	0.14288881231931905	0.2507811548042225
Tmem54	-1.617891909758825	2.7790807390491805	47.42341718153789	8.434446757817318e-4	0.0048378623028508365
Hpca	-3.2983302016280898	3.2747939216646875	226.63428360507433	1.7346439076627127e-5	5.973206004695138e-4
Fndc5	-2.2322979104848706	2.4524304838153097	83.8629456401263	2.1144066794317705e-4	0.0017947065428582988
S100pbp	0.12381327385827784	3.3493563652283926	0.39442501018098247	0.5565349892350306	0.6808905651144552
Yars	0.12939199236969623	6.137431554130636	1.5764346524916013	0.26274514272555755	0.39421912093616557
C77080	0.239562847238767	7.87358707424446	6.86837474625928	0.045302232256770075	0.10478204842968536
Sync	-0.007102974994125983	4.071540646737716	0.002603642629867458	0.9612074710671767	0.976772490080775
Rbbp4	0.20659371279619165	7.501666104323823	5.418043933359387	0.06542065893938032	0.13943136602348738
Zbtb8os	0.3931665996587988	3.507688905669774	6.767210347406016	0.04640011457045819	0.10686045343166838
Zbtb8a	-1.0737086662859894	2.414382265423674	10.500600408706639	0.021683082625612124	0.059465949705162
Zbtb8b	-0.24037012482510614	3.182246939023278	1.3105366459362768	0.30224423717421445	0.43785148947820335
Bsdc1	0.20727595112864267	7.616099429443062	3.7468323349666766	0.10846981184707888	0.20395472481524504
Marcksl1	-0.16846289722544502	9.552692555303764	2.6490201082109013	0.1622994996307589	0.27615244767023756
Hdac1	-0.1525164873490979	3.190037751803487	0.9031821052400841	0.3839841710256537	0.5227380565122115
Lck	-1.0555247669650096	4.09036829268104	3.2907005188541314	0.1271546724902222	0.23002037659643498
Eif3i	0.23867938955533313	6.8314683646875585	4.895990076360985	0.07577378832613346	0.1549556034286396
2510006D16Rik	0.5620685235406143	5.735165508681629	37.78353862010011	0.001439908087286974	0.007212167574646261
Dcdc2b	0.41530792065947186	2.4002703999312907	4.608484754957972	0.08248426719508843	0.16535134135408344
Iqcc	-0.028575770569465343	3.3275417516836012	0.01363894820194056	0.9114073733335575	0.945897661038298
Ccdc28b	0.4352706863451854	4.801482710374325	12.138954400220392	0.016497089327709435	0.04796741567798835
Txlna	-0.08873091302803389	6.451106241632499	0.22537834557389405	0.6542452240436221	0.7613478986421074
Kpna6	0.07083951025995587	6.32756768958689	0.4990855273237029	0.5102964087046294	0.6414282721976386
