gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Ankzf1	378	658	584	373
Glb1l	307	528	395	311
Stk16	911	1409	1055	650
Tuba4a	784	952	695	343
A630095N17Rik	2	9	2	1
Dnajb2	1101	1589	1384	719
Ptprn	468	883	224	175
Resp18	2318	4851	2910	2665
Dnpep	1746	2662	2443	1464
Des	2224	3087	5426	2930
Gm15179	1	7	2	2
Speg	1084	1595	1094	692
Gmppa	1131	1816	1569	1029
Accn4	50	75	2	0
Chpf	936	1413	1230	688
Tmem198	178	346	244	185
Obsl1	1292	2095	1091	718
Inha	199	419	220	164
Stk11ip	1438	2148	1936	1084
Slc4a3	863	1429	534	315
Gm17751	63	133	14	13
Epha4	413	725	251	174
Pax3	63	97	11	10
Sgpp2	194	570	70	71
Farsb	1053	1590	1343	780
Mogat1	19	43	2	3
Acsl3	3426	2962	4463	1423
Utp14b	1204	942	1445	451
Kcne4	15	45	4	5
Scg2	360	652	17	6
Ap1s3	127	216	100	81
Wdfy1	235	362	238	135
Mrpl44	484	791	722	478
Serpine2	486	787	277	145
Fam124b	40	70	35	20
Cul3	3665	4745	5826	3080
1700016L21Rik	45	58	233	109
Dock10	6678	8899	14727	7900
9430031J16Rik	33	53	0	1
Irs1	84	189	81	52
Rhbdd1	984	1329	1685	974
Col4a4	103	178	7	4
Col4a3	191	285	10	4
Mff	1190	1729	1715	1025
Tm4sf20	156	424	113	178
Agfg1	1382	1841	1885	963
Slc19a3	50	117	6	7
Ccl20	1117	2254	416	360
Wdr69	66	104	2	3
Sphkap	266	296	89	57
Pid1	89	105	52	28
Dner	85	123	40	15
Mir5126	0	0	0	0
Trip12	7855	10186	10283	5360
Fbxo36	197	311	162	112
Slc16a14	31	75	18	6
A530032D15Rik	91	121	132	87
Gm7609	19	45	46	32
C130026I21Rik	129	198	198	140
Sp110	1155	1749	1609	1005
Sp140	669	986	1529	906
Sp100	1297	2353	3117	2161
A630001G21Rik	63	97	59	34
Cab39	2785	4105	3740	2154
Itm2c	5178	7253	9509	5206
4933407L21Rik	5	5	8	7
Gpr55	160	380	55	55
Spata3	0	2	1	0
2810459M11Rik	10	24	3	0
Psmd1	3401	4677	4775	2558
Htr2b	50	44	22	8
Armc9	321	495	342	185
B3gnt7	94	145	4	9
Ncl	17339	18685	19616	9709
Snora75	12	4	9	3
Snord82	0	0	2	0
C130036L24Rik	71	75	81	46
Nmur1	107	166	2	2
1700019O17Rik	79	118	2	2
Ptma	2122	2740	2640	1283
Pde6d	1226	1845	1998	1152
Cops7b	431	817	658	380
Nppc	297	410	114	55
Dis3l2	780	1107	1243	689
Alppl2	683	1246	12	3
Alpi	437	841	13	11
Akp3	747	1323	310	179
Ecel1	340	560	267	143
Prss56	183	225	4	0
Chrnd	143	242	216	143
Chrng	191	270	168	113
Eif4e2	3538	4473	5591	2834
Efhd1	258	494	12	12
Gigyf2	1321	2175	1768	1239
Kcnj13	26	54	10	4
3110079O15Rik	28	39	3	1
Ngef	179	232	132	81
Neu2	69	134	307	272
Inpp5d	1454	2227	4731	2648
Atg16l1	816	1328	1033	668
Scarna6	5	4	8	4
Sag	111	178	11	7
Dgkd	2200	3211	3174	2189
Usp40	578	1119	629	535
Ugt1a10	3	5	0	0
Ugt1a9	14	13	1	1
Ugt1a7c	20	33	1	5
Ugt1a6b	2	2	3	1
Ugt1a6a	44	86	12	24
Ugt1a5	1	2	0	0
Ugt1a2	2	2	2	1
Dnajb3	16	31	21	10
Ugt1a1	49	149	38	51
Heatr7b1	403	613	26	19
Hjurp	198	333	209	151
